Entity,Code,Year,Cumulative number of large-scale AI systems by country
Australia,AUS,2017,0
Australia,AUS,2020,0
Australia,AUS,2021,0
Australia,AUS,2022,0
Australia,AUS,2023,1
Australia,AUS,2024,1
Austria,AUT,2017,0
Austria,AUT,2020,0
Austria,AUT,2021,0
Austria,AUT,2022,0
Austria,AUT,2023,1
Austria,AUT,2024,1
Canada,CAN,2017,0
Canada,CAN,2020,0
Canada,CAN,2021,0
Canada,CAN,2022,1
Canada,CAN,2023,2
Canada,CAN,2024,2
China,CHN,2017,0
China,CHN,2020,0
China,CHN,2021,2
China,CHN,2022,3
China,CHN,2023,18
China,CHN,2024,19
Finland,FIN,2017,0
Finland,FIN,2020,0
Finland,FIN,2021,0
Finland,FIN,2022,0
Finland,FIN,2023,1
Finland,FIN,2024,1
France,FRA,2017,0
France,FRA,2020,0
France,FRA,2021,0
France,FRA,2022,0
France,FRA,2023,1
France,FRA,2024,2
Germany,DEU,2017,0
Germany,DEU,2020,0
Germany,DEU,2021,0
Germany,DEU,2022,1
Germany,DEU,2023,2
Germany,DEU,2024,2
India,IND,2017,0
India,IND,2020,0
India,IND,2021,0
India,IND,2022,0
India,IND,2023,1
India,IND,2024,1
Israel,ISR,2017,0
Israel,ISR,2020,0
Israel,ISR,2021,1
Israel,ISR,2022,1
Israel,ISR,2023,2
Israel,ISR,2024,2
Japan,JPN,2017,0
Japan,JPN,2020,0
Japan,JPN,2021,0
Japan,JPN,2022,0
Japan,JPN,2023,1
Japan,JPN,2024,1
Multinational,,2017,0
Multinational,,2020,0
Multinational,,2021,0
Multinational,,2022,4
Multinational,,2023,7
Multinational,,2024,10
Russia,RUS,2017,0
Russia,RUS,2020,0
Russia,RUS,2021,0
Russia,RUS,2022,1
Russia,RUS,2023,1
Russia,RUS,2024,1
Singapore,SGP,2017,0
Singapore,SGP,2020,0
Singapore,SGP,2021,0
Singapore,SGP,2022,0
Singapore,SGP,2023,1
Singapore,SGP,2024,1
South Korea,KOR,2017,0
South Korea,KOR,2020,0
South Korea,KOR,2021,1
South Korea,KOR,2022,1
South Korea,KOR,2023,1
South Korea,KOR,2024,1
Spain,ESP,2017,0
Spain,ESP,2020,0
Spain,ESP,2021,0
Spain,ESP,2022,0
Spain,ESP,2023,1
Spain,ESP,2024,1
Sweden,SWE,2017,0
Sweden,SWE,2020,0
Sweden,SWE,2021,0
Sweden,SWE,2022,0
Sweden,SWE,2023,1
Sweden,SWE,2024,1
Total,,2017,2
Total,,2020,4
Total,,2021,11
Total,,2022,34
Total,,2023,87
Total,,2024,96
United Arab Emirates,ARE,2017,0
United Arab Emirates,ARE,2020,0
United Arab Emirates,ARE,2021,0
United Arab Emirates,ARE,2022,0
United Arab Emirates,ARE,2023,2
United Arab Emirates,ARE,2024,2
United Kingdom,GBR,2017,2
United Kingdom,GBR,2020,2
United Kingdom,GBR,2021,3
United Kingdom,GBR,2022,6
United Kingdom,GBR,2023,7
United Kingdom,GBR,2024,7
United States,USA,2017,0
United States,USA,2020,2
United States,USA,2021,4
United States,USA,2022,16
United States,USA,2023,36
United States,USA,2024,40
